Removed Pin From Net: NetName=NetLDR1_1 Pin=U3-J2-1
Removed Pin From Net: NetName=NetLDR1_2 Pin=U3-J2-3
Removed Pin From Net: NetName=NetP3_5 Pin=U3-J2-8
Removed Pin From Net: NetName=NetP3_6 Pin=U3-J2-9
Removed Pin From Net: NetName=NetP3_7 Pin=U3-J2-10
Removed Pin From Net: NetName=NetR7_1 Pin=U3-J2-11
Removed Pin From Net: NetName=NetP3_4 Pin=U3-J2-12
Removed Pin From Net: NetName=NetP3_3 Pin=U3-J2-13
Removed Pin From Net: NetName=NetP3_2 Pin=U3-J2-16
Removed Pin From Net: NetName=NetP3_1 Pin=U3-J2-17
Removed Pin From Net: NetName=NetD5_C Pin=U3-J2-19
Removed Pin From Net: NetName=NetP3_8 Pin=U3-J3-1
Removed Pin From Net: NetName=NetS2_03 Pin=U3-J3-11
Removed Pin From Net: NetName=NetS1_03 Pin=U3-J3-12
Removed Pin From Net: NetName=Netpitch1_03 Pin=U3-J3-15
Removed Pin From Net: NetName=Netroll1_03 Pin=U3-J3-16
Change Component Footprint: Designator=U3 Old Footprint=MODULE_ESP32-DEVKITC-32D New Footprint=MODULE_ESP32-DEVKITC-32U
Change Component Comment : Designator=U3 Old Comment=ESP32-DEVKITC-32D New Comment=ESP32-DEVKITC-32U
Change component parameters: Designator = "U3" ("U3"); Footprint = "MODULE_ESP32-DEVKITC-32D"; UniqueID = "\GXRDJDVS" ("\GXRDJDVS")
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "155°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pins"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power"; Value = "63mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "5%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "330"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=R2(RESC0402(1005)_L)
Add component (AddParameter): Name = "Case/Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "155°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pins"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power"; Value = "63mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "5%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "330"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=R3(RESC0402(1005)_L)
Add component (AddParameter): Name = "Case/Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "155°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pins"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power"; Value = "63mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "5%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "330"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=R4(RESC0402(1005)_L)
Add component (AddParameter): Name = "Case/Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "155°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pins"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power"; Value = "63mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "5%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "2k"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=R5(RESC0402(1005)_L)
Add component (AddParameter): Name = "Case/Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "155°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pins"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power"; Value = "63mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "5%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "330"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=U1(DPAK170P1435X465-6N)
Add component (AddParameter): Name = "Availability"; Value = "Not in stock"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Check_prices"; Value = "https://www.snapeda.com/parts/XL6009/XLSEMI/view-part/?ref=eda"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Component Type"; Value = "Standard"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Design Item ID"; Value = "XL6009"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MF"; Value = "XLSEMI"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MP"; Value = "XL6009"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "TO-263-5L XLSEMI"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pin Count"; Value = "6"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Price"; Value = "None"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/XL6009/XLSEMI/view-part/?ref=snap"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Source"; Value = "XL6009.SchLib"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=U2(DPAK170P1435X465-6N)
Add component (AddParameter): Name = "Availability"; Value = "Not in stock"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Check_prices"; Value = "https://www.snapeda.com/parts/XL6009/XLSEMI/view-part/?ref=eda"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Component Type"; Value = "Standard"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Design Item ID"; Value = "XL6009"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MF"; Value = "XLSEMI"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MP"; Value = "XL6009"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "TO-263-5L XLSEMI"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pin Count"; Value = "6"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Price"; Value = "None"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/XL6009/XLSEMI/view-part/?ref=snap"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Source"; Value = "XL6009.SchLib"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=VR1(TRIM_3296W1103LF)
Add component (AddParameter): Name = "Availability"; Value = "Unavailable"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Check_prices"; Value = "https://www.snapeda.com/parts/3296W1103LF/Bourns/view-part/2487625/?ref=eda"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MF"; Value = "Bourns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MP"; Value = "3296W1103LF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "None"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Price"; Value = "None"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/3296W1103LF/Bourns/view-part/2487625/?ref=snap"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=VR2(TRIM_3296W1103LF)
Add component (AddParameter): Name = "Availability"; Value = "Unavailable"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Check_prices"; Value = "https://www.snapeda.com/parts/3296W1103LF/Bourns/view-part/2487625/?ref=eda"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MF"; Value = "Bourns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MP"; Value = "3296W1103LF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "None"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Price"; Value = "None"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/3296W1103LF/Bourns/view-part/2487625/?ref=snap"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Pin To Net: NetName=NetB+1_1 Pin=B+1-1
Added Pin To Net: NetName=NetB+1_2 Pin=B+1-2
Added Pin To Net: NetName=NetB+1_1 Pin=B+2-1
Added Pin To Net: NetName=NetB+1_2 Pin=B+2-2
Added Pin To Net: NetName=NetB+1_1 Pin=B+3-1
Added Pin To Net: NetName=NetB+1_2 Pin=B+3-2
Added Pin To Net: NetName=NetB-1_1 Pin=B-1-1
Added Pin To Net: NetName=NetB+1_1 Pin=B-1-2
Added Pin To Net: NetName=NetB-1_1 Pin=B-2-1
Added Pin To Net: NetName=NetB+1_1 Pin=B-2-2
Added Pin To Net: NetName=NetB-1_1 Pin=B-3-1
Added Pin To Net: NetName=NetB+1_1 Pin=B-3-2
Added Pin To Net: NetName=NetC1_1 Pin=C1-1
Added Pin To Net: NetName=NetC1_2 Pin=C1-2
Added Pin To Net: NetName=NetC2_1 Pin=C2-1
Added Pin To Net: NetName=NetC1_2 Pin=C2-2
Added Pin To Net: NetName=NetC3_1 Pin=C3-1
Added Pin To Net: NetName=NetC3_2 Pin=C3-2
Added Pin To Net: NetName=NetC1_1 Pin=C4-1
Added Pin To Net: NetName=NetC4_2 Pin=C4-2
Added Pin To Net: NetName=NetC4_2 Pin=C5-1
Added Pin To Net: NetName=NetC1_1 Pin=C5-2
Added Pin To Net: NetName=NetC1_1 Pin=C6-1
Added Pin To Net: NetName=NetC6_2 Pin=C6-2
Added Pin To Net: NetName=NetC7_1 Pin=C7-1
Added Pin To Net: NetName=NetB-1_1 Pin=C7-2
Added Pin To Net: NetName=NetC8_1 Pin=C8-1
Added Pin To Net: NetName=NetB-1_1 Pin=C8-2
Added Pin To Net: NetName=NetB+1_2 Pin=C9-1
Added Pin To Net: NetName=NetC1_1 Pin=C9-2
Added Pin To Net: NetName=NetC10_1 Pin=C10-1
Added Pin To Net: NetName=NetB+1_2 Pin=C10-2
Added Pin To Net: NetName=NetC11_1 Pin=C11-1
Added Pin To Net: NetName=NetC11_2 Pin=C11-2
Added Pin To Net: NetName=NetC1_1 Pin=C12-1
Added Pin To Net: NetName=NetC12_2 Pin=C12-2
Added Pin To Net: NetName=NetC12_2 Pin=C13-1
Added Pin To Net: NetName=NetC1_1 Pin=C13-2
Added Pin To Net: NetName=NetC1_1 Pin=C14-1
Added Pin To Net: NetName=NetC14_2 Pin=C14-2
Added Pin To Net: NetName=NetC1_1 Pin=D1-A
Added Pin To Net: NetName=NetC1_2 Pin=D1-C
Added Pin To Net: NetName=NetC3_2 Pin=D2-A
Added Pin To Net: NetName=NetC4_2 Pin=D2-C
Added Pin To Net: NetName=NetC1_1 Pin=D3-A
Added Pin To Net: NetName=NetB+1_2 Pin=D3-C
Added Pin To Net: NetName=NetC11_2 Pin=D4-A
Added Pin To Net: NetName=NetC12_2 Pin=D4-C
Added Pin To Net: NetName=NetC6_2 Pin=Fuse1-1
Added Pin To Net: NetName=NetB+1_2 Pin=Fuse1-2
Added Pin To Net: NetName=NetIC1_1 Pin=IC1-1
Added Pin To Net: NetName=NetIC1_2 Pin=IC1-2
Added Pin To Net: NetName=NetIC1_3 Pin=IC1-3
Added Pin To Net: NetName=NetC7_1 Pin=IC1-4
Added Pin To Net: NetName=NetC8_1 Pin=IC1-5
Added Pin To Net: NetName=NetB-1_1 Pin=IC1-6
Added Pin To Net: NetName=NetC1_2 Pin=L1-1
Added Pin To Net: NetName=NetC3_1 Pin=L1-2
Added Pin To Net: NetName=NetC2_1 Pin=L2-1
Added Pin To Net: NetName=NetC3_2 Pin=L2-2
Added Pin To Net: NetName=NetC4_2 Pin=L3-1
Added Pin To Net: NetName=NetC6_2 Pin=L3-2
Added Pin To Net: NetName=NetB+1_2 Pin=L4-1
Added Pin To Net: NetName=NetC11_1 Pin=L4-2
Added Pin To Net: NetName=NetC10_1 Pin=L5-1
Added Pin To Net: NetName=NetC11_2 Pin=L5-2
Added Pin To Net: NetName=NetC12_2 Pin=L6-1
Added Pin To Net: NetName=NetC14_2 Pin=L6-2
Added Pin To Net: NetName=NetC1_1 Pin=P1-1
Added Pin To Net: NetName=NetC1_2 Pin=P1-2
Added Pin To Net: NetName=NetP2_1 Pin=P2-1
Added Pin To Net: NetName=NetP2_2 Pin=P2-2
Added Pin To Net: NetName=NetP2_3 Pin=P2-3
Added Pin To Net: NetName=NetP2_4 Pin=P2-4
Added Pin To Net: NetName=NetP2_5 Pin=P2-5
Added Pin To Net: NetName=NetP2_6 Pin=P2-6
Added Pin To Net: NetName=NetP2_7 Pin=P2-7
Added Pin To Net: NetName=NetC1_1 Pin=P2-8
Added Pin To Net: NetName=NetP2_9 Pin=P2-9
Added Pin To Net: NetName=NetC14_2 Pin=P2-10
Added Pin To Net: NetName=NetP2_9 Pin=Pi1-4
Added Pin To Net: NetName=NetC1_1 Pin=Pi1-6
Added Pin To Net: NetName=NetP2_1 Pin=Pi1-8
Added Pin To Net: NetName=NetP2_2 Pin=Pi1-10
Added Pin To Net: NetName=NetP2_7 Pin=Pi1-11
Added Pin To Net: NetName=NetP2_6 Pin=Pi1-13
Added Pin To Net: NetName=NetP2_5 Pin=Pi1-15
Added Pin To Net: NetName=NetP2_3 Pin=Pi1-16
Added Pin To Net: NetName=NetP2_4 Pin=Pi1-18
Added Pin To Net: NetName=NetC1_2 Pin=power1-1
Added Pin To Net: NetName=NetC1_1 Pin=power1-5
Added Pin To Net: NetName=NetIC1_1 Pin=Q1-1
Added Pin To Net: NetName=NetB-1_1 Pin=Q1-3
Added Pin To Net: NetName=NetQ1_2 Pin=Q1-4
Added Pin To Net: NetName=NetIC1_2 Pin=Q2-1
Added Pin To Net: NetName=NetC1_1 Pin=Q2-3
Added Pin To Net: NetName=NetQ1_2 Pin=Q2-4
Added Pin To Net: NetName=NetC1_1 Pin=R1-1
Added Pin To Net: NetName=NetR1_2 Pin=R1-2
Added Pin To Net: NetName=NetC7_1 Pin=R2-1
Added Pin To Net: NetName=NetB+1_1 Pin=R2-2
Added Pin To Net: NetName=NetC8_1 Pin=R3-1
Added Pin To Net: NetName=NetB+1_2 Pin=R3-2
Added Pin To Net: NetName=NetC1_1 Pin=R4-1
Added Pin To Net: NetName=NetIC1_3 Pin=R4-2
Added Pin To Net: NetName=NetC1_1 Pin=R5-1
Added Pin To Net: NetName=NetR5_2 Pin=R5-2
Added Pin To Net: NetName=NetC1_1 Pin=U1-1
Added Pin To Net: NetName=NetC1_2 Pin=U1-2
Added Pin To Net: NetName=NetC3_1 Pin=U1-3
Added Pin To Net: NetName=NetC1_2 Pin=U1-4
Added Pin To Net: NetName=NetR1_2 Pin=U1-5
Added Pin To Net: NetName=NetC1_1 Pin=U2-1
Added Pin To Net: NetName=NetB+1_2 Pin=U2-2
Added Pin To Net: NetName=NetC11_1 Pin=U2-3
Added Pin To Net: NetName=NetB+1_2 Pin=U2-4
Added Pin To Net: NetName=NetR5_2 Pin=U2-5
Added Pin To Net: NetName=NetLDR1_1 Pin=U3-1
Added Pin To Net: NetName=NetLDR1_2 Pin=U3-3
Added Pin To Net: NetName=NetP3_5 Pin=U3-8
Added Pin To Net: NetName=NetP3_6 Pin=U3-9
Added Pin To Net: NetName=NetP3_7 Pin=U3-10
Added Pin To Net: NetName=NetR7_1 Pin=U3-11
Added Pin To Net: NetName=NetP3_4 Pin=U3-12
Added Pin To Net: NetName=NetP3_3 Pin=U3-13
Added Pin To Net: NetName=NetP3_2 Pin=U3-16
Added Pin To Net: NetName=NetP3_1 Pin=U3-17
Added Pin To Net: NetName=NetD5_C Pin=U3-19
Added Pin To Net: NetName=Netroll1_03 Pin=U3-23
Added Pin To Net: NetName=Netpitch1_03 Pin=U3-24
Added Pin To Net: NetName=NetS1_03 Pin=U3-27
Added Pin To Net: NetName=NetS2_03 Pin=U3-28
Added Pin To Net: NetName=NetP3_8 Pin=U3-38
Added Pin To Net: NetName=NetC4_2 Pin=VR1-1
Added Pin To Net: NetName=NetC4_2 Pin=VR1-2
Added Pin To Net: NetName=NetR1_2 Pin=VR1-3
Added Pin To Net: NetName=NetC12_2 Pin=VR2-1
Added Pin To Net: NetName=NetC12_2 Pin=VR2-2
Added Pin To Net: NetName=NetR5_2 Pin=VR2-3
Added Pin To Net: NetName=NetU3_26 Pin=U3-26
Added Pin To Net: NetName=NetU3_26 Pin=yaw1-03
Added Net: Name=NetU3_26
Added Member To Class: ClassName=Bottom Member=Component B+1
Added Member To Class: ClassName=Bottom Member=Component B+2
Added Member To Class: ClassName=Bottom Member=Component B+3
Added Member To Class: ClassName=Bottom Member=Component B-1
Added Member To Class: ClassName=Bottom Member=Component B-2
Added Member To Class: ClassName=Bottom Member=Component B-3
Added Member To Class: ClassName=Bottom Member=Component C1 220uF
Added Member To Class: ClassName=Bottom Member=Component C2 100nF
Added Member To Class: ClassName=Bottom Member=Component C3 22uF
Added Member To Class: ClassName=Bottom Member=Component C4 100nF
Added Member To Class: ClassName=Bottom Member=Component C5 220uF
Added Member To Class: ClassName=Bottom Member=Component C6 10uF
Added Member To Class: ClassName=Bottom Member=Component C7 100nF
Added Member To Class: ClassName=Bottom Member=Component C8 100nF
Added Member To Class: ClassName=Bottom Member=Component C9 220uF
Added Member To Class: ClassName=Bottom Member=Component C10 100nF
Added Member To Class: ClassName=Bottom Member=Component C11 22uF
Added Member To Class: ClassName=Bottom Member=Component C12 100nF
Added Member To Class: ClassName=Bottom Member=Component C13 220uF
Added Member To Class: ClassName=Bottom Member=Component C14 10uF
Added Member To Class: ClassName=Bottom Member=Component D1 SS34
Added Member To Class: ClassName=Bottom Member=Component D2 SS34
Added Member To Class: ClassName=Bottom Member=Component D3 SS34
Added Member To Class: ClassName=Bottom Member=Component D4 SS34
Added Member To Class: ClassName=Bottom Member=Component Fuse1 61300211121
Added Member To Class: ClassName=Bottom Member=Component IC1 HY2120-AB
Added Member To Class: ClassName=Bottom Member=Component L1 470
Added Member To Class: ClassName=Bottom Member=Component L2 470
Added Member To Class: ClassName=Bottom Member=Component L3 2R2
Added Member To Class: ClassName=Bottom Member=Component L4 470
Added Member To Class: ClassName=Bottom Member=Component L5 470
Added Member To Class: ClassName=Bottom Member=Component L6 2R2
Added Member To Class: ClassName=Bottom Member=Component P1 282837-2
Added Member To Class: ClassName=Bottom Member=Component P2
Added Member To Class: ClassName=Bottom Member=Component Pi1 TSW-120-24-F-D
Added Member To Class: ClassName=Bottom Member=Component power1 629105150521
Added Member To Class: ClassName=Bottom Member=Component Q1 AOD472
Added Member To Class: ClassName=Bottom Member=Component Q2 AOD472
Added Member To Class: ClassName=Bottom Member=Component R1 Resistor 330R +/-5 % 0402 63 mW
Added Member To Class: ClassName=Bottom Member=Component R2 Resistor 330R +/-5 % 0402 63 mW
Added Member To Class: ClassName=Bottom Member=Component R3 Resistor 330R +/-5 % 0402 63 mW
Added Member To Class: ClassName=Bottom Member=Component R4 Resistor 2K +/-5 % 0402 63 mW
Added Member To Class: ClassName=Bottom Member=Component R5 Resistor 330R +/-5 % 0402 63 mW
Added Member To Class: ClassName=Bottom Member=Component U1 XL6009
Added Member To Class: ClassName=Bottom Member=Component U2 XL6009
Added Member To Class: ClassName=Bottom Member=Component VR1 10K
Added Member To Class: ClassName=Bottom Member=Component VR2 10K
